keys,es,en
menu_btn_play,Jugar,Play
menu_btn_options,Opciones,Options
menu_btn_exit,Salir,Exit
menu_btn_playground,Pruebas,Playground
menu_btn_back,Volver,Resume
loading_bar_text,Cargando…,Loading…
menu_options_text,Opciones,Options
menu_options_text_music,Música:,Music:
menu_options_text_sound,Sonidos:,Sounds:
menu_options_text_lang,Lenguaje:,Language:
journal_title,Cuaderno,Journal
journal_map_01,Casa,House
journal_map_02,Boliche,Grocery Store
journal_map_03,Cruce de Caminos,Crossroad
journal_map_04,La Forestal,“Forestal Land”
journal_map_01_item01,Mate,Mate
journal_map_01_item02,Cuaderno,Journal
journal_map_01_item03,Cuadro,Photographies
journal_map_01_item04,Puerta Pieza,Bedroom Door
journal_map_01_item05,Puerta Salida,Exit Door
journal_map_01_item06,Cajon misterioso,Mistery Box
menu_btn_restart,Resetear juego,Restart Game
journal_map_02_item01,,
journal_map_02_item02,,
journal_map_02_item03,,
menu_options_text_quality,Calidad,Quality
menu_options_text_quality_op1,Alta,High
menu_options_text_quality_op2,Media,Medium
menu_options_text_quality_op3,Baja,Low
controls_text,Controles,Controls
controls_movement_text,MOVIMIENTO,MOVEMENT
controls_interaction_text,INTERACCIÓN,INTERACTION
controls_menu_text,MENÚES,MENU
controls_movement_text_01,Caminar,Walk
controls_movement_text_02,Correr,Run
controls_interaction_text_01,Saltar diálogo,Skip dialogue
controls_interaction_text_02,Pistas,Clues
controls_interaction_text_03,Interactuar,Interact
controls_menu_text_01,Pausa,Pause
controls_menu_text_02,Controles,Controls
controls_menu_text_03,Cuaderno,Journal
menu_btn_credits,Créditos,Credits
